,GFI,Fk Level,Fre
Abraham Licncoln,14,12,50
Bill Clinton,12,9,59
Donald Trump,11,9,57
Eisenhower,16,13,43
George Walker Bush,11,9,57
Hillary,11,10,55
Kennedy,13,11,56
Obama,10,8,61
Ronald Reagan,11,9,60
Roosevelt,14,11,49
