,GFI,Fk Level,Fre
Adam Noah Levine,7,5,69
Conan O¡¯Brien,9,7,69
Emma Watson,9,8,65
Justin Drew Bieber,9,7,71
Kanye West,11,9,66
LeBron Raymone James,5,3,86
Leonardo DiCaprio,11,8,57
Oprah Winfrey,10,8,67
Robert Downey Jr,7,5,73
Usain St. Leo Bolt,8,6,70
