,GFI,Fk Level,Fre
Alberto Mondi,10,8,64
Chiara Ferrgani,14,12,52
Conan O¡¯Brien,9,7,69
J.Fla,10,8,66
Jeannedamas,10,8,67
Leandra Medine,11,9,62
lele pons,7,4,82
Mark Tetto,8,6,74
Tiffany Hsu,11,8,61
Tyler Rasch,10,8,64
