,GFI,Fk Level,Fre
Bill Gates,9,7,69
Jeff Weiner,11,9,61
John Legere,8,5,73
Mark Zuckerberg,12,9,65
Pat Gelsinger,11,8,65
Satya Nadella,13,11,47
Sundar Pichai,11,9,57
Tim Cook,11,9,54
Warren Buffett,12,10,63
